step,datetime,GPP,H,LE,SW_rad,T_air_C,J_GPP_Vcmax25,J_GPP_T_air,J_GPP_SW_rad,J_GPP_q,J_GPP_dpai,J_H_Vcmax25,J_H_T_air,J_H_SW_rad,J_H_q,J_H_dpai,J_LE_Vcmax25,J_LE_T_air,J_LE_SW_rad,J_LE_q,J_LE_dpai
1,2007-05-01 00:00,30.918757943280387,-94.78311923396551,338.1956840627404,388.50386181152146,28.425469970703148,14.143925573682163,-48.69162467442116,10.701357753983407,-0.15363207256633524,7.692401386006599,-54.689870980445924,8997.579102758145,117.53554999636006,69.790143432554,20.444785328324045,60.41999937770599,-9238.102692543907,200.03834897167548,-72.95981933518789,67.23555158401761
7,2007-05-01 03:00,-1.9119127711262263e-17,-84.45822643476117,2.9545115826357455,0.0,22.738458251953148,-2.5684257282482045e-17,-3.020828292876986e-18,0.0,-1.1848793482531695e-20,-4.4506873162310776e-17,0.0,-1827.3212985933303,0.0,1.5935086194158146,-12.542347756635918,0.0,91.85191028984669,0.0,-1.696501909542138,3.1013111853951294
13,2007-05-01 06:00,2.92059200497001e-17,-60.08581868148153,0.9972527252805566,0.0,15.647485351562523,-4.736940973228493e-17,-4.996276546167111e-21,0.0,0.0,5.6411858434646e-17,0.0,-1787.2561348646486,0.0,1.3545507846097955,22.132870422396664,0.0,88.95095369914745,0.0,-1.4318862204275327,1.337469132774087
19,2007-05-01 09:00,7.4069449796706e-18,-54.727017015443906,-0.535423650167838,0.0,10.491082763671898,-1.146783064118985e-16,9.999831105119522e-21,0.0,0.0,1.1341473932439777e-16,0.0,-1711.3300747530682,0.0,1.2684497064648423,41.33105863672919,0.0,85.22174269131303,0.0,-1.349632585951131,0.061572772696334294
25,2007-05-01 12:00,-2.3775228147989136e-18,-49.84866956776554,-0.9381874352996777,0.0,8.680688476562523,7.031566082092477e-17,-6.453412377482035e-21,0.0,0.0,-4.517438603951192e-17,0.0,-1757.558839825373,0.0,1.0725900393941175,53.92426023220689,0.0,87.5523414064191,0.0,-1.1305083779855885,-0.408341158654538
31,2007-05-01 15:00,28.325624052397373,97.77493342117373,56.731545173654794,254.78707519355885,11.976312255859398,10.975952827263269,-0.0539511563025096,12.657914829385458,0.0,6.869036933969177,-9.727300712231893,-6413.254597231003,147.91602096390628,73.96798808765368,59.94868097942489,10.288831214610001,5146.372295025634,79.90173713468602,-78.56988951617379,41.26445460600839
37,2007-05-01 18:00,34.13990955112881,131.04958771364448,347.78441769163044,720.240950250909,19.611260986328148,15.903702979873097,-0.11937458872542672,11.100998228728766,0.0,9.463668339119838,-68.15132917266939,-6028.067532406373,280.43413432638704,68.69754766605304,63.34466981871329,73.46214345968335,4989.299035013857,263.1415938340143,-74.75276458043865,118.87606517470545
43,2007-05-01 21:00,30.536255853289916,-35.543385711225575,310.06921854783474,354.81150625577243,22.577539062500023,13.76779976369296,-0.06276533524514465,10.985568054808388,0.0,7.540397171494834,-66.03185955860441,-7219.2445539604505,122.48348429265508,84.03816682585114,25.998628971168486,69.49701937868203,5898.267504921269,178.43614590182094,-89.0242912493938,80.10516234949537
49,2007-05-02 00:00,22.617839587470456,-14.03235392874294,139.02457880771433,138.2924226678112,20.360253906250023,4.373754959264248,0.6911527540704936,16.520633313447387,0.0031432422691153377,5.620860732297029,-6.714655242178635,-6669.360800181362,26.95924013466098,108.08229634516758,29.588402609438035,6.92627372158934,5160.748958994317,123.81711707549269,-112.11820626383941,36.14705744672305
55,2007-05-02 03:00,4.313917141418813e-17,-17.309612395036535,1.034151452168345,0.0,16.822930908203148,5.1449960828976816e-17,3.6893675260132885e-21,0.0,0.0,7.708281188287312e-18,0.0,-1792.709305865099,0.0,1.7716084957325422,27.550003242807243,0.0,89.092447897782,0.0,-1.8702956239343815,1.336167540673978
61,2007-05-02 06:00,-7.585180266661443e-17,1.5863418339100632,0.08164153530825835,0.0,14.178155517578148,-1.7561192743389163e-17,4.63845390670933e-21,0.0,0.0,-5.815746888834965e-17,0.0,-1742.9525634120712,0.0,1.9225635329340156,40.96796180202472,0.0,86.56193450691022,0.0,-2.0380470677825513,0.5283618624653296
67,2007-05-02 09:00,3.2569042582516833e-17,9.157909201281221,-0.24747013494726253,0.0,13.046960449218773,3.8544143106549985e-17,-2.3707012387066826e-20,0.0,0.0,-3.52505333554537e-18,0.0,-1657.6718429554123,0.0,1.964660878317569,41.48535342721281,0.0,82.32422534792683,0.0,-2.1063039867571116,0.4098439400644104
73,2007-05-02 12:00,1.1142439697725835e-16,3.8851138361555297,-0.3827332504947596,0.0,12.968041992187523,-2.059169074414116e-17,-3.6861334612776404e-20,0.0,0.0,1.0296111107832248e-16,0.0,-1703.0450300505263,0.0,2.0230149511848743,43.34372475111576,0.0,84.60779935992032,0.0,-2.154525768880028,0.21796556344151558
79,2007-05-02 15:00,9.799898493426532,71.17461882681857,-8.97775758415228,35.03500689783751,13.087060546875023,0.4338014926184343,-0.002404079127753697,9.068317735277482,0.0,2.536301853264811,-1.171582737155715,-3482.899894012762,59.499314145674724,50.8313923565522,57.99410944697995,1.2335628611962197,1938.4744651384913,-5.3937284125255704,-53.41267358016122,4.747658171609386
85,2007-05-02 18:00,34.73060204283167,293.61441309336567,234.8946604071561,751.3442540542285,16.480523681640648,16.611540793595193,-0.06409921081582025,11.29070269914908,0.0,9.64917638907585,-68.12968579882705,-8562.652309836907,369.6856196489908,134.78669689734258,125.01381317117063,71.1215851716003,7212.746004290964,199.19250578211154,-141.42510971143926,92.41166310190142
91,2007-05-02 21:00,31.1240696262914,94.96122816514676,189.75411692701798,384.5975400152844,17.619653320312523,14.363573800928467,-0.053465173030637386,10.864192375936362,0.0,7.751767048669418,-47.30444766048691,-7875.512934915713,185.53599516516715,112.14831884987015,66.12471986818676,49.38382143004822,6488.806850315888,134.57952528348432,-117.66221670203238,62.92121041424523
97,2007-05-03 00:00,27.472811955596377,2.229802533208666,149.35275708721974,223.8316458578584,16.980981445312523,9.655312528040275,-0.02921430484856304,13.88384491466963,0.0,6.673367282337201,-24.799648776350164,-7778.375968069291,96.86273722551726,83.23303365004095,46.199798546911765,25.659226642970143,6265.750270144387,114.57169861193078,-86.48956239512044,45.01569852201908
103,2007-05-03 03:00,0.01978969641494766,-63.43552549941772,0.533500158582044,0.028616665512912892,13.935693359375023,0.0008326974999852383,1.7225179392657936e-07,0.019778760071037734,0.0,0.004207422889742125,0.0,-1762.3010811885304,0.07660969347225065,1.2573894891420883,27.55208803374491,0.0,87.37663660205665,0.000196632766209529,-1.3321184560086448,0.9485783708128982
109,2007-05-03 06:00,7.610731948836647e-17,-62.82434079452668,-0.24258038158535233,0.0,10.912774658203148,6.043502843370739e-18,-1.652935785150916e-20,0.0,0.0,1.2911908376209066e-16,0.0,-1702.3859939813449,0.0,1.0998349816141377,36.98323002521655,0.0,84.28350936993185,0.0,-1.1725381542531217,0.343899945774395
115,2007-05-03 09:00,1.4867303523005304e-16,-55.58593894389031,-0.6174986889529268,0.0,9.514062500000023,-6.873482351330416e-17,-4.156468567138395e-20,0.0,0.0,1.7990829782358057e-16,0.0,-1705.556235878068,0.0,1.0512801150274622,44.82053050437902,0.0,84.38665509817933,0.0,-1.1182614768633568,-0.004448257760586161
121,2007-05-03 12:00,4.03751913100985e-17,-62.57295497137028,-0.43605509937149906,0.0,8.054467773437523,1.1765833085507943e-17,-2.3660813949553823e-20,0.0,0.0,6.772381016890066e-17,0.0,-1333.1852578082264,0.0,0.8274808491280734,22.662018785482694,0.0,66.05010246413585,0.0,-0.932396500062625,0.7867371636777419
127,2007-05-03 15:00,28.13261564014633,103.93936446819701,59.758045775330764,256.4158609488043,10.327874755859398,10.828281628999097,-0.08483045544776262,12.351029640556341,0.0,6.816666004744463,-7.9689224667970535,-4886.701607067375,134.13668890490055,56.558978128149406,46.2123707863876,8.660704041703038,3866.3753650953727,91.46269402572784,-61.80125853762861,47.97599401764229
133,2007-05-03 18:00,34.33730852969669,247.0287283359246,236.63730781283203,723.1448314680633,13.905297851562523,16.14960655003432,-0.09951178135524553,11.167645426574344,0.0,9.513404122135894,-54.30554971642986,-6674.338756946102,322.8155752351594,70.73752199964223,97.1060208229406,57.91504785002318,5553.2281226035975,222.99877834553124,-75.99307312683678,104.15558276677248
139,2007-05-03 21:00,28.781365969737422,69.2399801609813,143.27268698367885,268.3002990183907,15.671868896484398,11.561594254138239,-0.04822902487404803,12.36938862183889,0.0,6.985106222173764,-26.66563875606334,-7035.11091206095,126.55055330824979,76.58103976519499,55.87116806351665,27.955759894543856,5682.074568542274,113.34033808759456,-80.72429588031696,51.99626775562499
145,2007-05-04 00:00,27.760249463592203,71.15619163420466,113.29319506246162,232.54275471771425,14.639642333984398,10.079304656854767,-0.03432720792064869,13.530834902338391,0.0,6.736834061286028,-19.411099518103693,-7448.293292687162,119.15755124970809,73.57321557913858,65.43030649703333,20.173378736543476,5997.33587190886,96.97971299175717,-76.81052555019906,41.367655139435726
151,2007-05-04 03:00,-5.951752161676979e-18,11.037268664305806,-0.28379161291447597,0.0,10.773095703125023,-3.1904151768039906e-17,-1.6081490382405233e-20,0.0,0.0,4.1840511326674636e-17,0.0,-1732.9198977942847,0.0,1.265447468177334,56.88336111204639,0.0,85.8473790432717,0.0,-1.3384429484409,0.21408304377060086
157,2007-05-04 06:00,4.8756753153433156e-17,17.493277488939803,-1.1320782045108821,0.0,8.817041015625023,8.852235999029479e-17,1.454396599736147e-20,0.0,0.0,1.3291172058192197e-16,0.0,-1658.9148285322815,0.0,1.57650003445119,59.95918112082469,0.0,82.27416563885501,0.0,-1.6822968015407507,-0.3550825339206014
163,2007-05-04 09:00,-2.1491680172154966e-17,6.02359663279747,-0.4562417935517091,0.0,8.214685058593773,8.801080396343115e-17,5.08784260791234e-20,0.0,0.0,-6.514782494332853e-17,0.0,-1318.8618916378812,0.0,1.245274949060736,35.46099292584114,0.0,65.62899300522913,0.0,-1.3965411926988252,0.7782076091613681
169,2007-05-04 12:00,7.199566812111022e-17,-6.339531683842757,0.09150550523922459,0.0,8.143884277343773,-5.721836180248631e-17,-2.86141958197219e-20,0.0,0.0,4.8683581617725125e-17,0.0,-1086.2410070839994,0.0,1.025644440771387,21.167354732144865,0.0,54.16080357778607,0.0,-1.1923557530925546,1.4165916163274554
175,2007-05-04 15:00,6.726273572659209,48.31965309544625,-7.094343071188251,20.33087417476583,8.847406005859398,0.2913760351457464,-0.0014598547283880495,6.186009677975077,0.0,1.7795630662758026,-1.5670287149517537,-2220.12181218402,39.87243624286444,18.707875412998792,44.226075474920926,1.7016461268405938,960.7667796019424,-5.444916792143823,-20.356486722907608,5.411423049593001
181,2007-05-04 18:00,28.619019037123046,203.9130270177267,17.96407584238154,259.15044996970886,11.485437011718773,11.285397149129018,-0.03643875171513847,12.705570076902031,0.0,6.942538716180134,-4.966084207247522,-7648.093093023208,179.67144007729672,109.60665576563574,102.34194520641688,5.169847857462444,6206.064497800896,52.83718160833138,-114.26111067142568,26.990937316784784
187,2007-05-04 21:00,34.08806555033798,274.0174013694998,181.36289834197527,627.6074135357944,14.885919189453148,16.33957685775714,-0.05624241898329673,11.11731370539847,0.0,9.21216733377295,-54.80724628728627,-8750.12078329272,331.2683118462943,120.63243291861569,124.50783034146532,57.0009415606764,7358.635912079379,160.20902612077458,-126.024041139342,74.77226894234789
193,2007-05-05 00:00,30.38935271434024,54.94538163274287,177.00316854316782,354.94959329657456,17.022546386718773,13.592941578158413,-0.08140336263175146,10.888480232768906,0.0,7.505461861480191,-33.58414183677479,-6143.672526741193,156.07591007362362,81.0879513512244,43.3774621513461,35.838048427106294,4980.418853635467,140.21077373291877,-87.16202197984342,64.36932720778279
199,2007-05-05 03:00,0.04106813822474963,-57.590353236747916,0.36370957055138065,0.059493749200505874,14.725793457031273,0.0017525633846837277,3.9904897128982544e-07,0.04102048138743815,0.0,0.00873531868918431,0.0,-1724.4800682008736,0.15807789935332134,1.6634324750589289,23.931278522593598,0.0,85.47011483152501,0.00045788339499199015,-1.7736870610127968,0.8403391049106023
205,2007-05-05 06:00,-9.406458327092357e-17,-49.10857801113135,-0.3110971701707367,0.0,12.058465576171898,2.999246390516755e-17,-5.363906117318985e-21,0.0,0.0,-1.1556701081277837e-16,0.0,-1738.2305465141424,0.0,1.5240865566511463,37.8278588745026,0.0,86.09343551980973,0.0,-1.616685575664913,0.20636537284188858
211,2007-05-05 09:00,3.0208045511258555e-17,-47.45871741272497,-0.6296744361295803,0.0,10.503167724609398,1.0463995647009904e-16,1.889062173797844e-20,0.0,0.0,-1.124345640278076e-16,0.0,-1715.9765375350703,0.0,1.3719848127542018,43.37381902204753,0.0,84.95986872372771,0.0,-1.457992389915823,-0.04187975745743172
217,2007-05-05 12:00,7.508289664031134e-17,-53.59248755774577,-0.2491490147863805,0.0,11.431512451171898,5.855798395702358e-17,-1.4926418729778743e-20,0.0,0.0,4.0122394979330235e-18,0.0,-1804.6156055517067,0.0,1.238905745089102,43.76218527600512,0.0,89.33862820698542,0.0,-1.2994379217693481,0.1433523128640045
223,2007-05-05 15:00,28.908870938707935,99.80143278009996,77.257891189011,264.22595098687617,13.518853759765648,11.601079853911559,-0.2808628755100091,12.711309788842092,-0.0006678903733181675,7.003653711550371,-19.61241326531957,-9380.195799260802,171.11245729798281,91.99953138683898,75.19709357652819,20.06224681409772,7679.635294254592,68.63812553290174,-94.47329468781973,41.64246433141733
229,2007-05-05 18:00,35.05280649401469,222.7420213444648,289.85229606252756,768.7434059826127,17.263452148437523,16.99077259798875,-1.0789240727953724,11.393293031136473,-0.002462905545138653,9.701238255243595,-102.61710073346536,-11093.356323088681,405.7855830772056,100.58409603685688,109.99720149499788,105.14385008427205,9403.92502358212,180.77085845311916,-103.5973455430858,108.13405472661242
235,2007-05-05 21:00,35.00930674527319,130.9022391087433,418.63105329478304,858.5211106118577,20.472497558593773,17.00924774293441,-1.8616632385796237,11.293682150131456,-0.003606062544720913,9.742178454109762,-142.1151611955403,-10660.14217021158,400.52712656327924,81.65019298338919,89.16976853825011,145.946777510737,8971.49340939229,232.8058722419703,-84.38579589974661,129.75786980897988
241,2007-05-06 00:00,31.766778363952138,-124.69135836639451,379.4919645926913,413.58451480600195,22.372094726562523,14.989588737831129,-2.0113929012162126,10.875327097336061,-0.0038604235260844394,7.9367733736032315,-113.62458170993823,-8887.320990604558,157.43586585995246,72.382934376262,27.41263429808471,116.88627375666215,7291.694739840521,187.92647317947623,-74.77692314609564,82.51248245908977
247,2007-05-06 03:00,0.022862353232006794,-85.04716973013672,2.5294668002878637,0.033069005136676446,19.451257324218773,0.0009640561555203917,1.6782596791589251e-07,0.02284773118178703,0.0,0.004860887999477011,0.0,-1852.5308272556827,0.08926520239344977,1.0278781627767222,1.5276475616993745,0.0,91.76638712731388,0.00018951224988339877,-1.0801383140789205,2.6992398304042524
253,2007-05-06 06:00,-7.776514047120081e-17,-75.26556681139029,1.8606636124705482,0.0,16.979150390625023,2.0488227317819425e-18,1.702001844547259e-20,0.0,0.0,-1.199282329664157e-16,0.0,-1833.5797834768052,0.0,0.9120656794787048,14.26254782220503,0.0,90.74140846350728,0.0,-0.9585373628832118,2.0932072706241955
259,2007-05-06 09:00,-6.081605369803253e-17,-63.4768307600089,0.5344333862851567,0.0,13.877038574218773,-2.24412674698041e-17,1.2364483091797731e-20,0.0,0.0,-7.177824049103929e-17,0.0,-1831.440566279976,0.0,1.2326202632571572,31.493718080534045,0.0,90.58463884841694,0.0,-1.2908569270129615,0.8439355955410995
265,2007-05-06 12:00,-3.92233540535008e-18,-68.33052439741732,1.1860363552035087,0.0,15.585565185546898,3.0852362203665496e-17,3.158403309234018e-19,0.0,8.706408220901087e-22,-6.498679404279568e-17,0.0,-1840.7378400711561,0.0,1.2334539200344332,25.91992943681905,0.0,91.76440524534718,0.0,-1.1931710084618103,1.3621423274878388
271,2007-05-06 15:00,28.61814951330853,-24.214144849925773,183.58664071634297,254.45760444703697,17.984704589843773,11.193500837802473,-0.8863573786532326,12.981773916611527,-0.0024720181320168145,6.911521484112246,-41.41670463029199,-9091.720630670745,111.6390633406765,98.32302980058307,36.623053413988885,42.435833127949266,7391.38606106908,122.4479415426658,-101.25257707290143,54.59172307191894
277,2007-05-06 18:00,35.0135958170012,34.28086161852311,464.4323457102174,762.2875177987225,23.527642822265648,16.956981164541997,-2.0418233505931145,11.382473961868115,-0.0056845044402210965,9.683832223260191,-151.81716781227044,-9805.382975008399,338.6529455677433,112.51646285767524,62.44868523833402,156.28734436845943,8231.98495639067,243.9667760255482,-116.51592629782174,126.4475615173491
283,2007-05-06 21:00,34.98151661854163,-41.59453679971246,578.7147543013932,840.9791500138388,27.883142089843773,16.945883874643144,-3.926268523362416,11.303657554374775,-0.011361673063636555,9.75535948459749,-174.55643911221586,-7214.224940328181,325.1806801346898,104.36598220212133,49.44994179658582,181.22928470099302,5898.1541749189855,297.2956905176169,-108.75613041275972,139.6059346954188
289,2007-05-07 00:00,31.563430499182374,-218.35246702502792,472.89328261354717,406.866313631398,29.883599853515648,14.797175330522546,-4.823775833450712,10.838357324009381,-0.01441070189248401,7.893813703813011,-118.29110658725622,-3359.3032310670483,112.50267441027232,88.61530612716385,6.817697974424874,124.13941316976286,2493.3549540728236,226.7247639748595,-92.22516205450042,81.71218858333035
295,2007-05-07 03:00,0.10753497597195252,-85.09863655366411,3.710999336521568,0.1566805871209219,25.355615234375023,0.004799664792781308,0.00019415123287410644,0.10719567658467177,7.851771357819496e-07,0.02290548699464153,0.0,-1724.1518666443283,0.4176714688568536,1.876717702793811,-22.83759462626821,0.0,79.09335934964894,0.0010567912142977216,-1.7621606862704835,3.6852862695046986
301,2007-05-07 06:00,8.036583607279367e-17,-71.1635651690542,2.4687819450869433,0.0,21.673516845703148,7.660443602133294e-17,6.899031910774281e-19,0.0,2.930640346501982e-21,1.2262897532934294e-16,0.0,-1813.665937816275,0.0,1.9268687242958,-3.8648945913909696,0.0,91.0059784086431,0.0,-1.8812921340763016,2.6100815948440164
307,2007-05-07 09:00,1.4737534475503526e-16,-67.13330724683082,1.7787841151635266,0.0,20.158624267578148,2.7691764654796496e-18,6.428845552069534e-19,0.0,3.0767006605209912e-21,4.528051946828176e-17,0.0,-1827.5336036776332,0.0,2.1796370159062417,4.6025131140855065,0.0,91.09340802143394,0.0,-2.1046909032956242,1.9313494781975429
313,2007-05-07 12:00,3.0938290547735206e-17,-65.01843927345038,1.2190799865367383,0.0,18.716882324218773,3.719682796695982e-17,2.1402614075424832e-18,0.0,1.0546590984579613e-20,7.245285503441995e-17,0.0,-1837.160321567253,0.0,2.2947848985760526,12.350168297767288,0.0,91.36679556517909,0.0,-2.202453928296956,1.376389507988859
319,2007-05-07 15:00,28.498768574708528,-17.21758576171604,179.30903316506078,258.23349332513,21.518487548828148,11.171255182806423,-0.04703983359014529,12.633769086981804,0.0,6.912305377060504,-31.30985799644316,-7105.848920879932,104.79396883319248,143.4033300364422,22.840472819470317,32.82705031275667,5726.147739713253,129.19223900797218,-151.22209752125264,52.25781370183176
325,2007-05-07 18:00,34.73400216216145,5.573904100492831,487.52962746151996,752.1796300195492,26.279779052734398,16.60694245752028,-22.33676149738875,11.292289911150446,-0.078283524102401,9.577475559186965,-124.78807023384886,-3456.1505382874434,290.15303445385223,119.91517953664228,56.010670568302324,131.1925659660613,1771.8444374955266,281.1510640442793,-127.61127225174963,118.6763484472313
331,2007-05-07 21:00,32.909402687609344,110.75295278344063,405.5581567918355,818.9349618723159,29.493463134765648,14.166993537047722,-0.24710291572533316,10.633681055506152,0.0,8.568553800616247,-30.762936675330533,-111.84554218401675,220.08020122938706,1.8003973547845118,57.02465252607348,38.09095958320525,74.0768565027076,342.0634888854906,-2.2091382894169005,96.64431135624845
337,2007-05-08 00:00,30.165618964124235,-11.49144752394941,272.6871381933906,393.15113548334034,31.029412841796898,13.250972750636834,-0.16821709921397685,10.249767989557343,0.0,6.992939340870336,-24.359718617332852,-269.5367376687503,112.15283003939687,3.812143118871941,56.234643334877184,29.11713173517604,212.53293138025552,196.06682814773615,-4.636065706205551,27.490538935047343
343,2007-05-08 03:00,0.049583069432294125,-72.55356951745134,3.4659959313363693,0.07187382279070567,29.735955810546898,0.00212663181433315,8.926200407787251e-07,0.04951330243005201,0.0,0.010553793176637169,0.0,-202.47819838207386,0.1657250914127379,0.14981322604499703,-8.716701449936513,0.0,10.322007779879284,0.0018159745053213162,-0.1995425815554192,2.8148630560614323
349,2007-05-08 06:00,-6.506673266719362e-18,-76.72464804275937,3.660404235076726,0.0,24.912835693359398,5.5212615750155074e-17,1.8611996524622393e-18,0.0,7.324630543033863e-21,-5.75912786218036e-18,0.0,-1835.9893724140386,0.0,1.6230950707921747,-19.556066549256418,0.0,85.95680805064622,0.0,-1.7370938043199156,3.6639042345885047
355,2007-05-08 09:00,-1.4453855872850308e-17,-54.75508380098795,1.583102693387104,0.0,19.472528076171898,5.824529732113096e-17,-4.160242318349369e-22,0.0,0.0,-3.8015188666848437e-17,0.0,-1791.8901917007354,0.0,1.9585047947978926,7.627808819203741,0.0,89.09426184134784,0.0,-2.0764710536244024,1.8474754463503618
361,2007-05-08 12:00,-5.861543753059219e-17,-44.71975097899826,0.6102387826362463,0.0,16.444146728515648,1.4475366547788054e-17,-9.90367884726283e-21,0.0,0.0,-3.4009357685049477e-17,0.0,-1804.9254532995299,0.0,1.9930725650972148,23.44781949599791,0.0,89.68707268927817,0.0,-2.1013170749698467,0.9407328678665211
367,2007-05-08 15:00,28.35346168112857,41.14323125464506,132.35006037589855,254.85579611845833,18.964776611328148,10.997746764363264,-0.05143696268282934,12.68162715847024,0.0,6.875923894463425,-22.050860091164182,-6715.446643904921,119.42150855620335,135.08915577900194,36.98220925765204,23.228493711354268,5394.355470944761,110.6560325719598,-143.15775904354678,47.40389651850816
